time,"Natural_gas,_US","Shrimps,_Mexican",Barley,Soybean_oil,Platinum,close,Aluminum,"Tobacco,_US_import_u.v.",Orange,"Sugar,_EU"
1999-01-01,1.86,12.13,77.71,541.63,355.11,4268.75,1218.46,3111.44,0.42,0.6
1999-02-01,1.77,12.02,75.31,482.36,364.07,4626.38,1186.85,3173.0,0.4,0.6
1999-03-01,1.79,12.24,75.2,444.36,369.93,5011.3,1181.59,3058.83,0.44,0.59
1999-04-01,2.15,12.24,79.73,442.68,357.15,5102.63,1278.2,3006.36,0.45,0.59
1999-05-01,2.25,12.24,81.53,421.5,356.01,5399.34,1323.46,3041.54,0.44,0.59
1999-06-01,2.3,12.35,80.54,405.88,356.78,5195.0,1315.31,3041.54,0.48,0.58
1999-07-01,2.31,12.35,76.86,391.4,349.06,5700.11,1403.76,3044.28,0.46,0.58
1999-08-01,2.79,12.35,75.15,412.37,350.06,6448.69,1431.32,3007.82,0.49,0.59
1999-09-01,2.54,11.9,71.44,413.93,370.93,7028.41,1492.48,3034.31,0.47,0.59
1999-10-01,2.72,12.13,72.29,399.53,421.14,7321.19,1474.41,2929.71,0.52,0.61
1999-11-01,2.36,12.68,73.14,387.31,434.02,7949.55,1472.76,2961.74,0.34,0.59
1999-12-01,2.36,13.56,72.36,374.67,439.13,8083.38,1554.48,3083.62,0.34,0.59
2000-01-01,2.42,14.0,73.13,369.79,441.0,8309.5,1680.28,3038.81,0.35,0.6
2000-02-01,2.65,14.11,73.36,357.94,519.71,9653.33,1670.27,2985.46,0.32,0.59
2000-03-01,2.79,14.44,74.4,363.49,479.33,10280.11,1577.05,3030.14,0.3,0.58
2000-04-01,3.03,14.66,76.95,366.24,497.55,9727.5,1457.14,3048.4,0.34,0.58
2000-05-01,3.58,14.88,78.26,337.97,525.89,10130.24,1466.79,2985.18,0.41,0.55
2000-06-01,4.28,14.66,78.48,330.17,559.73,8410.91,1506.31,2969.94,0.43,0.55
2000-07-01,3.96,14.77,78.68,339.3,560.29,8164.41,1563.5,2934.73,0.4,0.55
2000-08-01,4.41,14.11,75.13,328.92,577.61,8006.71,1527.63,2970.09,0.39,0.55
2000-09-01,5.06,13.56,73.21,312.49,591.9,8637.98,1601.21,2938.45,0.36,0.52
2000-10-01,5.02,13.01,76.15,314.02,579.72,7678.07,1500.24,2970.72,0.38,0.53
2000-11-01,5.55,13.01,82.46,316.78,593.34,7339.77,1473.86,2948.7,0.36,0.52
2000-12-01,8.95,13.01,86.6,320.57,609.5,7314.34,1565.41,2893.94,0.31,0.53
